Authors,Affiliations
Sara Stymne,Uppsala University
Robert Östling,Stockholm University
Raúl Vázquez,University of Helsinki
Jori Mur,"Manager digital products, Edu'Actief, Meppel"
Pierre Lison,"Senior Research Scientist, Norsk Regnesentral"
Gertjan van Noord,University of Groningen
Eva Pettersson,Uppsala University
Bonnie Webber,University of Edinburgh
Aarne Talman,University of Helsinki
Gideon Kotzé,University of the Free State
Liane Guillou,University of Edinburgh
Gosse Bouma,University of Groningen
Marine Carpuat,University of Maryland
Amit Awekar,"Indian Institute of Technology, Guwahati"
Eleftheria Briakou,University of Maryland
Joel R Tetreault,Dataminr
Colin Cherry,Google
George Foster,Google
Markus Freitag,Google
Weijia Xu,University of Maryland
Julia Kreutzer,Google
Xing Niu,Amazon
Batool Arhamna Haider,Amazon
Saab Mansour,RWTH Aachen University
Douglas W. Oard,University of Maryland
Behrouz Minaei-Bidgoli,Iran University of Science and Technology
Majid Asgari-Bidhendi,Arusha Co-Founder
Omid Roshani,AI Engineering
Amir Havangi,Iran University of Science and Technology
Sayyed Ali Hossayni,Iran University of Science & Technology
Parvin Keshvari Fini,Iran University of Science and Technology
Yasamin Vasheghani Farahani,Iran University of Science and Technology
Mohammad hossein Shojaei baghini,Iran University of Science and Technology
Mehrdad Nasser,Iran university of Science and Technology
Bill Punch,Michigan State University
Mahdi Nasiri,ToobaBigDataScience Company
Gerd Kortemeyer,Michigan State University
Ali Hadian,Computer Scientist
Omid Kashefi,University of Pittsburgh
Leila Esmaeili (Assistant Professor | P...,Qom Islamic Azad University 
Deborah Kashy,Michigan State University
Reza Entezari-Maleki, Iran University of Science and Technology
Mohsen Sharifi,Iran University of Science and Technology
Akram Beigi,Shahid Rajaee Teacher Training University
Mohammad Sadegh Rasooli,Microsoft
Arash Rashidian,Tehran University of Medical Sciences
Hossein Joudaki,PhD in health services management
Elham Akhondzadeh Noughabi,"Assistant Professor, Department of Information Technology Engineering, School of Industrial and"
Mahmood Fathy,Iran university of science and technology
Mansoor Rezghi,Associate Professor of Computer Science Tarbiat Modares
Mohammadhani Fouladgar,University of Texas 
Anil K. Jain,Michigan State University
Mohsen Soryani,Iran university of science and technology
Nasser Mozayani,Iran University of Science and Technology
Xu Sun,Peking University
Furu Wei, Microsoft Research
houfeng wang,Peking University
Junyang Lin,Alibaba Group
Jingjing Xu,ByteDance AI Lab
Tianyu Liu,Tencent
Wenjie Li,The Hong Kong Polytechnic University
Lei Cui,Microsoft
Yizhong Wang,University of Washington
Sujian LI,Peking University
Shuming Ma,Microsoft
Zhang Zhiyuan,Peking University
Fuli Luo,Alibaba 
Deli Chen,Tencent
Guangxiang Zhao,Peking University
Qi Zeng,University of Illinois Urbana-Champaign
Liangchen Luo,Google
Junichi Tsujii,AIST
Takuya Matsuzaki,Tokyo University of Science
Yuanxin Liu,Chinese Academy of Sciences
Jianfeng Gao,Microsoft
Hisashi Kashima,Kyoto University
Yoshimasa Tsuruoka,The University of Tokyo
Fenglin Liu,Peking University
Bin He,Tencent
Ming Zhou (周明),Sinovation
Wenkai Yang,Peking University
Liang Zhao,Peking University
Joanna Buscemi,DePaul University
Larry Birnbaum,Northwestern University
Kristian Hammond,Northwestern University
Rachel F. Adler,Northeastern Illinois University
Justine Cassell,Carnegie Mellon University
Jon Oberlander,University of Edinburgh
Paul Tepper,Northwestern University
Aron Culotta,Tulane University
Paul Anderson, University of Edinburgh
Víctor R. Martínez,Apple
Nia Dowell,University of California
Victor M. Gonzalez,Instituto Tecnológico Autónomo de México
Sophia Ananiadou,Manchester University
Raheel Nawaz,Staffordshire University
Piotr Przybyła,Polish Academy of Sciences
John McNaught,University of Manchester
Gustavo Henrique Paetzold,Federal University of Technology
Saeed Ul Hassan,Manchester Metropolitan University
Farooq Zaman,Information Technology University
Laura Vásquez-Rodríguez,University of Manchester
Luciano Gerber,Manchester Metropolitan University
Ashley Williams,Manchester Metropolitan University
Sian Gooding,University of Cambridge
Ekaterina Kochmar,University of Bath
Fernando Alva-Manchego,Cardiff University
Robert Flynn,Sheffield University
Sam Sellar,University of South Australia
Michael Cooper,
Rene van der Wal,Swedish University of Agricultural Sciences
Chris Mellish,University of Aberdeen
Ani Nenkova,Adobe
Owen Rambow,Stony Brook University
Nirwan Sharma,Open University
Nizar Habash,New York University
Teruko Mitamura,Carnegie Mellon University
Kathleen McKeown,Columbia University
Bonnie Dorr,University of Florida
Eduard Hovy,Carnegie Mellon University
Lori Levin,Carnegie Mellon University
Florence Reeder,MITRE Corp
Ann Copestake,University of Cambridge
Colin Batchelor,Royal Society of Chemistry
Chenghua Lin,University of Sheffield
Helen B Anderson,University of Aberdeen
Agung Toto Wibowo,Universitas Telkom
Judith Masthoff,University of Aberdeen
Adam Wyner,Swansea University
lisset neyra,Universidad Técnica Particular de Loja
Pablo F. Ordoñez-Ordoñez 0000-0001...,"Universidad Nacional de Loja, Carrera de Ingeniería en Sistemas"
Itziar Gonzalez-Dios, University of the Basque Country
Aitor Soroa (ORCID 0000-0001-8573-...,University of the Basque Country
M.J. Aranzabe,Profesora del Departamento de Lengua Vasca y Comunicación (UPV/EHU)
Arantza Diaz de Ilarraza,University of the Basque Country
German Rigau (ORCID:0000-0003-11...,University of the Basque Country
Kepa Xabier Bengoetxea Kortazar,University of the Basque Country
Javier Álvez,University of the Basque Country
Oier Lopez de Lacalle,Universtity of the Basque Country
Mikel Iruskieta,University of the Basque Country
Iñigo Lopez-Gazpio,University of Deusto
Haritz Salaberri,University of the Basque Country
Manex Agirrezabal,University of Copenhagen 
Uxoa Iñurrieta,University of the Basque Country
Ander Soraluze,University of the Basque Country
Igone Zabala,University of the Basque Country
Oscar M. Cumbicus-Pineda,Universidad Nacional de Loja
Begoña Altuna,University of the Basque Country
Josu Goikoetxea,Associate Professor in UPV/EHU
Iñaki Alegria,University of the Basque Country
Antton Gurrutxaga  Hernaiz,Elhuyar Foundation
Xabier Artola,
Tharindu Ranasinghe,University of Wolverhampton
Rohit Gupta,Apple
Matteo Negri,"Fondazione Bruno Kessler - FBK-irst, Trento, Italy"
Viktor Pekar,Aston University
Carla Parra Escartín, RWS Language Weaver
Dan Cristea, Alexandru Ioan Cuza University of Iasi
Milen Kouylekov,University of Oslo
