Authors,Affiliations
Dr. Chittaranjan Pradhan,"Associate Professor, School of Computer Engineering, Kalinga Institute of Industrial Technology"
Dr. Rakesh K Lenka,IIIT Bhubaneswar
Swati Samantaray,"KIIT University, Bhubaneswar"
Harishchandra Dubey,"Microsoft Research, USA, Past: Center for Robust Speech Systems, The University of Texas at Dallas"
Deepak Puthal,Khalifa University
Satyaban Behera,"Asst. Professor(Computer Science),School of Information Science,Electronics & Telecomm( IST & ETC )"
Dr. Mamta Mittal,"Associate Professor, Delhi Skill and Entrepreneur University, (Under Government of NCT Delhi)"
Mahmoud Alahmad,KIIT Deemed to be University
Mostafa-Sami M. Mostafa,"Professor of Computer Science, Helwan University"
Mohamed Haggag,"Vice Dean for Research and Postgrad Studies, Faculty of Computers & Information, Helwan University"
Heba Hamdy Ali,Beni-Suef  University
Aliaa A. A. youssif,"Professor,  Arab Academy for Science, Technology and Maritime Transport (AASTMT)"
Marwa Gaber Abd El-Wahab,"M.Sc. student at Computer Science Department, Faculty of Computers and Information, Helwan"
Noha Hamdy,Lecturer at Modern Academy for Computer Science and Management Technology
Mohammed Elsaid Moussa,"Assistant Professor, Faculty of Computers and Artificial Intelligence, Helwan University"
Wessam H. El-Behaidy,"Associate Professor of Computer Science, Helwan University"
Ghada Khoriba,Associate Professor
Amal Elsayed Aboutabl,"Professor, Computer Science Department, Faculty of Computers and Artificial Intelligence, Helwan"
Mihai Surdeanu,"Associate Professor, Computer Science, University of Arizona"
Gondy Leroy,University of Arizona
Vikas Yadav,University of Arizona
Stephen Kobourov,"Professor of Computer Science, University of Arizona"
Peter A Jansen,"Assistant Professor, University of Arizona"
Enfa George,University Of Arizona
"Moriba Jah, Ph.D.",The University of Texas at Austin
Alice Saebom Kwak,University or Arizona
Thomas François,Assistant Professor at Université catholique de Louvain
Delphine Bernhard,Université de Strasbourg
Cédrick Fairon,"Professor of linguistics and Natural Language Processing, Université catholique de Louvain"
Amalia Todirascu,Université de Strasbourg
Johannes Ziegler,"Research Director, CNRS and Aix-Marseille University"
AL Ligozat,
Alexis NASR,"Professor Computer Science, Aix Marseille Université"
Michael Zock,"Research director at the CNRS, (LIF) university of Aix-Marseille"
Stephane Dufau,"CNRS research engineer, Cognitive psychology lab, Aix-Marseille University, France"
Jacques Ginestié,"professeur de sciences de l'éducation, Aix-Marseille Université"
Aurélie Calabrèse,Aix-Marseille Univ.
Mathieu Lafourcade,LIRMM
Ahmed Hamdi,University of La Rochelle
Rodrigo Wilkens,Université catholique de Louvain
Patrick Watrin,"Centre for Natural Language Processing (Cental), UCL, BE"
Philippe Gambette,"Associate Professor of Computer Science, Université Gustave Eiffel"
Nabil Hathout,"CNRS, CLLE (CNRS & U. Toulouse Jean Jaurès)"
Selja Seppälä,"Lecturer, Department of Business Information Systems, University College Cork"
Masud Chowdhury,University Missouri - Kansas City
Abdul Hamid B Yousuf,University of Missouri-Kansas City
Tushar Routh,UNIVERSITY OF VIRGINIA
Mahmood Uddin Mohammed,University of Missouri-Kansas City
"Muhammad E. H. Chowdhury, PhD (U...","Assistant Professor, Electrical Engineering, Qatar University"
Md. Enamul Hoque,"Assistant Professor, Department of Oceanography, University of Chittagong, Bangladesh"
Md. Habibur Rahman,Assistant Professor
Omri Abend,"Faculty member, Hebrew University of Jerusalem"
Ari Rappoport,"Associate Professor of Computer Science, The Hebrew University"
Dan Roth,"Professor of Computer Science, University of Pennsylvania"
Leshem Choshen,"IBM AI research, Hebrew University of Jerusalem"
Daniel Hershcovich,University of Copenhagen
Qing Lyu,"PhD student in CIS, University of Pennsylvania"
Hongming Zhang,"Senior Researcher, Tencent AI Lab Seattle. && Ph.D., HKUST"
Bonan Min,Raytheon BBN Technologies
Hayley Ross,"PhD Student in Linguistics, Harvard University"
amir pouran ben veyseh,university of Oregon
Thien Huu Nguyen,University of Oregon
Oscar Sainz,University of the Basque Country (UPV/EHU)
Eneko Agirre,"Full Professor, Director HiTZ, IXA, University of the Basque Country, Assoc. Researcher (sherpa.ai)"
Cynthia Fisher,"Professor of Psychology, University of Illinois"
Philip Huebner,"Department of Psychology, University of Illinois at Urbana-Champaign"
Jamaal Hay,University of Pennsylvania
Elior Sulem,University of Pennsylvania
Roi Reichart,Technion - Israel Institute of Technology
Nathan Schneider,"Assistant Professor, Linguistics and Computer Science • Georgetown University"
Tim O'Gorman,Thorn
Nianwen Xue,"Professor, Computer Science Department, Brandeis University"
Mark Steedman,"Professor of Cognitive Science, School of Informatics, University of Edinburgh"
Jakob Prange,"Ph.D. candidate, Georgetown University"
Jan Hajic,"Professor of Computational Linguistics, Charles University, Prague, Czech Republic"
Stephan Oepen,"Professor in Language Technologies, Universitetet i Oslo"
Sharon Goldwater,"School of Informatics, University of Edinburgh"
Vivek Srikumar,"Associate Professor, School of Computing, University of Utah"
Roy Schwartz,"Senior lecturer, the School of Computer Science, the Hebrew University of Jerusalem"
Marco Kuhlmann,Linköping University
Shay Cohen,University of Edinburgh
Tom Kwiatkowski,"Research Scientist, Google"
Nathaniel J. Smith,"Computational Fellow, Berkeley Institute for Data Science, UC Berkeley"
Milan Straka,"Institute of Formal and Applied Linguistics, Charles University in Prague, Czech Republic"
Mamoru Komachi,Professor at Tokyo Metropolitan University
Yuki Arase,Osaka University
Chenhui Chu,Kyoto University
Kazuhide Yamamoto / 山本 和英,Gengo House
Yuting Zhao,Tokyo Metropolitan University
Hajime Nagahara,Professor of Osaka University
Masahiro Kaneko,Tokyo Institute of Technology
Yuta Nakashima,"Institute for Datability Science, Osaka University"
Noriko Takemura,Osaka University
Satoru UCHIDA,Kyushu University
Ken-ichi Kawarabayashi,
Danushka Bollegala,"Professor, The University of Liverpool, DMML, Amazon.com"
Yuichi Yoshida,National Institute of Informatics
高山隼矢,Yahoo Japan Corporation
makoto onizuka,Osaka University
Atsushi Fujita,"Senior Researcher, National Institute of Information and Communications Technology (NICT), Japan"
Daichi Mochihashi,The Institute of Statistical Mathematics
Takashi Ninomiya,"Ehime University, Professor"
Chihiro Tanikawa,Osaka University
Yuji Matsumoto,"Team Leader, RIKEN Center for Advanced Intelligence Project"
Tomoyuki Kajiwara,"Assistant Professor, Ehime University"
Masaaki Nagata,NTT Corporation
Masashi Shimbo,"STAIR Lab, Chiba Institute of Technology"
Aizhan Imankulova,"PhD, CogSmart Co., Ltd., Tokyo Metropolitan University"
Tosho Hirasawa,Tokyo Metropolitan University
Ryu Iida,National Institute of Information and Communications Technology
Kentaro Inui,Tohoku University
Yuta Hayashibe,Megagon Labs
Keisuke Sakaguchi,Tohoku University
SHIN KANOUCHI,Megagon Labs
Longtu Zhang,Tokyo Metropolitan University
Kohei Ozaki,Preferred Networks
Taku Kudo,Google Inc.
小木曽 智信 / Toshinobu Ogiso,国立国語研究所 / NINJAL
Katsuhito Sudoh,Nara Institute of Science and Technology (NAIST)
Eiji ARAMAKI,NAIST (Nara Institute of Science and Technology)
Parth Gupta,Machine Learning at Amazon.com
Francisco Rangel,Head of Product at Symanto Research
Manuel Montes-y-Gómez,"National Institute of Astrophysics, Optics and Electronics"
Seren Yenikent,Symanto Research
Mara Chinea Rios,Universitat Politècnica de València
Sudipta Kar,"Amazon, Alexa AI"
Thomas Müller,Symanto
Rafael E. Banchs,"Research Scientist, Institute for Infocomm Research, Singapore"
Roberto Navigli,"Professor, Sapienza University of Rome"
Fermín L. Cruz,Universidad de Sevilla
José A. Troyano,Profesor Titular de Universidad (Universidad de Sevilla)
Mariona Taulé,"Professor of Linguistics, Universitat de Barcelona"
Guillermo Pérez-Torró,Symanto
Miguel Á. Álvarez-Carmona,CONACYT / CICESE-UT3
Davide Buscaldi,"Maître de conférences, LIPN, Université Paris 13"
Martin Potthast,Leipzig University
Alberto Barrón-Cedeño,Università di Bologna
Efstathios Stamatatos,University of the Aegean
Antonio Reyes,Full professor at Universidad Autónoma de Baja California
Marcelo Luis Errecalde,"Professor of Computer Science, Universidad Nacional de San Luis"
Junyi Jessy Li,The University of Texas at Austin
Rachel Rudinger,"Assistant Professor, Department of Computer Science, University of Maryland"
Leila Kosseim,"Professor of Computer Science, Concordia University"
Mohsen Afsharchi,University of Zanjan
Majid Laali,"Applied Scientist, Amazon Inc."
Felix-Herve Bachand,"Concordia University, Montreal, Canada"
"Olga Ormandjieva, PhD, Eng.","Professor of Computer Science and Software Engineering, Concordia University"
Marie-Jean Meurs,Associate Professor @ UQAM Université du Québec à Montréal
Elnaz Davoodi,Google DeepMind
Sabine Bergler,"CLaC Lab, Computer Science, Concordia University"
Hayda Almeida,PhD student @ Université du Québec a Montréal
Elham Mohammadi,"Master's Graduate of Computer Science, Concordia University"
Abolfazl Keighobadi Lamjiri,"Ph.D., Concordia University, MBA McGill University"
Hessam Amini,"Ph.D. candidate of Computer Science, Concordia University"
Jamileh Yousefi,Cape Breton University
Majid Razmara,"PhD. Student of Computer Science, Simon Fraser University"
Reda Siblini,"Researcher, BinariesLid"
Gregory Butler,"Professor, Department of Computer Science and Software Engineering, Concordia University, Montreal, Canada"
Farhood Farahnak,"PhD student in Computer Science, Concordia University"
Andre Cianflone,"PhD student, McGill University"
Volker Haarslev,"Professor of Computer Science, Concordia University, Montreal, Canada"
Agnès Tutin,"Université Grenoble Alpes, LLASIC, Laboratoire LIDILEM"
MohammadReza Davari,"Graduate Student, Concordia University"
"Joshi, Nisheeth",Banasthali Vidyapith
Iti Mathur,"Department of Computer Science, Banasthali Vidyapith, Rajasthan, India"
Gopal Naraian Purohit,"Professor of Computer Science, Banasthali University, Rajasthan"
Hemant Darbari,Executive Director C-DAC Pune
Dr. Vaishali Gupta,"Asst. Professor of Computer Science & Engineering, IES, IPS Academy, Indore"
Sneha Asopa,Banasthali Vidyapith
Pooja Gupta,Assistant Professor of Department of Computer Science Apaji Institute Banasthali University
Dr. Bhavya Deep,Associate Professor Computer Science Bhaskaracharya College of Applied Sciences University of Delhi
Dr. Rajesh Bose,"Associate Professor,Brainware University"
Dr Deepti Chopra,"Assistant Professor, Jagan Institute of Management Studies, Rohini, Sector 5, Delhi"
Shruti Mathur,Thakur college of engineering and technology
Amit Kumar Mishra,"Associate Professor, Amity School of Engineering and Technology, Amity University, Gwalior"
Dr. Priyanka Jain,"Center for Development of Advanced Computing, Ministry of Electronics and Information Technology"
Dr Syed Afroz Ahmed,Umm Al Quwain University
Pooja Mudgil,Bhagwan Parshuram Institute of Technology
Ramakant Bhardwaj,AMITY UNIVERSITY 
John A. Rogers,Northwestern University
KunHyuck Peter Lee,Northwestern University
Ha Uk Chung,Northwestern University
Siegfried Handschuh,University St.Gallen
André Freitas,University of Manchester 
Bernhard Bermeitinger,University St.Gallen
Edward Curry,NUI Galway
Seán O'Riain,"Director Data Analytics, Chapter Leader, Data Architecture & Engineering"
Brian Davis,Dublin City University
Marco Valentino,University of Manchester
Christina Niklaus,University of St.Gallen
Juliano Efson Sales, University of Passau
Mokanarangan Thayaparan,University of Manchester
Matthias Cetto,University of St. Gallen
Deborah Ferreira, University of Manchester
Vivian S. Silva, University of Passau
Christina Unger,Bielefeld University
Guy Clarke Marshall,University of Manchester
Ratnesh Sahay,Novartis
Philipp Cimiano, Bielefeld University
Stefan Decker,RWTH Aachen University
Kartik Asooja,Senior Data Scientist
Benedikt Kämpgen,University of Karlsruhe
Giancarlo Guizzardi,University of Twente
Steffen Staab,University of Southampton
Tudor Groza,European Bioinformatics Institute
Alexander Maedche,University of Karlsruhe
Raphael Volz,Pforzheim University
Vit Novacek,NUI Galway
Fabio Ciravegna,University of Sheffield
Keith Cortis,Artificial Intelligence Specialist and Researcher
Rudi Studer,University of Karlsruhe
Michael Sintek,DFKI GmbH
Ioannis (Yiannis) Kompatsiaris,CERTH
Enrico Motta,Open University
"Wei ""Coco"" Xu",Georgia Institute of Technology
Wuwei Lan,Amazon
Daniel Preotiuc-Pietro,Bloomberg 
Alan Ritter,Georgia Institute of Technology
Jeniya Tabassum,Amazon
Chao Jiang,Georgia Institute of Technology
Carolina Scarton,University of Sheffield
Louis Martin,Facebook
João Luís Garcia Rosa,Universidade de São Paulo
Joachim Bingel,University of Copenhagen
Antoine Bordes,Facebook
Benoît Sagot,INRIA
Mounica Maddela,Georgia Institute of Technology
Andreas Vlachos,University of Cambridge
Alison Sneyd,BeyondMinds
Marco Antonio Sobrevilla Cabezudo,Universidade de São Paulo
Nils Murrugarra-Llerena. Research Sci...,Snap 
Tom Vanallemeersch,CrossLang
Solange Oliveira Rezende,Departamento de Ciências de Computação - ICMC-USP
Amit Gajbhiye,Cardiff University
Marina Fomicheva,University of Sheffield
Frédéric Blain,University of Wolverhampton
Matthew Shardlow,Manchester Metropolitan University
Ralph Grishman,New York University
Chris Callison-Burch,University of Pennsylvania
Timothy Baldwin,The University of Melbourne
Courtney Napoles,Grammarly
Ang Sun,New York University
Ellie Pavlick,Brown University
Marie-Catherine de Marneffe, Ohio State University
Heng Ji,Amazon
Dilek Hakkani-Tur,Amazon
Mona Diab,George Washington University
Gokhan Tur,Amazon
Yangfeng Ji, University of Virginia
Qin Lu,Hong Kong Polytechnic University
Raphael Hoffmann,
Takahiro Hara,Osaka University
Xing Xie 谢幸,Microsoft
Yin Zhu (朱寅),Hong Kong University of Science and Technology
Mitsuo Yoshida (吉田光男),University of Tsukuba
Takuya Maekawa,Osaka University
Naoya Inoue,Japan Advanced Institute of Science and Technology 
Mikio Yamamoto,University of Tsukuba
Kiyoharu Aizawa,University of Tokyo
Aline Villavicencio,University of Sheffield 
Leonardo Zilio,University of Surrey
Marco idiart,UFRGS
Ana Eliza Pereira Bocorny,UFRGS
Aline Evers,UFRGS
Laurence Longo, Université de Strasbourg
Núria Gala, Aix Marseille Université
Johanna Monti, University of Naples
Christopher Gledhill,Université Paris Diderot
Dan Stefanescu,Audible
Gaëlle Lortal,Thales Research and Technology
Myriam Lewkowicz,UTT LIST3N/Tech-CICO
Sandra Maria Aluísio, University of São Paulo
Barry Haddow,University of Edinburgh
Matt Post,Microsoft
Ondřej Bojar,Charles University
Philipp Koehn,Johns Hopkins University
Christof Monz,University of Amsterdam
Christian Federmann,Microsoft
Caroline Gasperin,University of Cambridge
Varvara Logacheva,Skoltech
Yvette Graham,Trinity College Dublin
Christian Buck,Google Research
Radu Soricut,Google
Aleš Tamchyna,Memsource
Pavel Pecina,Charles University
Nishanth Sastry,University of Surrey
Chiara Boldrini,IIT-CNR
Marco Conti,IIT-CNR
Andrea Passarella,IIT-CNR
Andrew Secker,BBC
Anastasios Noulas,New York University
Salvatore Scellato,Google
Cecilia Mascolo,University of Cambridge
Vincenzo Nicosia,University of London
Julie Brownlie,University of Edinburgh
Changtao Zhong,King's College London
Frances Shaw,La Trobe University
Mohammad Shikh-Bahaei,King's College London
Dr Nasreen Anjum,University of Gloucestershire
Orion Penner,Ambizione Fellow
Massimo Riccaboni,IMT Lucca
Vasilis Friderikos, King's College London
Seyed Ehsan (Ethan) Ghoreishi,King's College London
Dongwon Lee,The Pennsylvania State University
Mustafa Al-Bassam,University College London
Guodong Long,University of Technology Sydney
Sinno Jialin Pan,Nanyang Technological University
zheng chen,Microsoft
Yang (Veronica) Liu,Associate Professor at Tsinghua University
Gui-Rong Xue,CEO of TIANRANG
Wenyuan Dai,"Founder & CEO, 4Paradigm Co., Ltd"
Dou Shen,Baidu 
Yu Zhang,Southern University of Science and Technology
Vincent W. Zheng,Singapore
Nathan N. Liu,Google
Han Yu,Singapore
Derek Hao Hu,Snap 
"Shuicheng Yan, Fellow of AAAI, ACM,...",Singapore
Erheng Zhong,Facebook
Jian-Tao Sun,Bing
A/Prof. Jie Yin,University of Sydney
Philip S. Yu,University of Illinons 
Rong Pan,"1. Department of Computer Science, School of Information Science and Technology 2. Software"
Bin Cao,Microsoft
James T. Kwok, Hong Kong University of Science and Technology
Violaine Prince,Montpellier University
didier schwab,Université Grenoble Alpes
Manel Zarrouk,LIPN - Institut Galilée - Université Sorbonne Paris Nord
Lionel Ramadier,LIMSI-CNRS
Marianne Huchard,Full professor in computer science
Jean-Rémy Falleri,"Associate Professor (HDR), Bordeaux INP"
Gilles Sérasset,Université Grenoble Alpes
Karën Fort,Sorbonne Université 
Frederic Guinand, Le Havre University of Normandy
Udo Kruschwitz,University of Regensburg
Jon Chamberlain,University of Essex
Massimo Poesio,Queen Mary University
Cédric Lopez,Emvista
Stergios Chatzikyriakidis,University of Crete
Richard Moot,Montpellier University
Christian RETORÉ,Montpellier University
Anne Laurent,Montpellier University
Mehdi Mirzapour,Montpellier University
Giulia Venturi,ILC - CNR
Simonetta Montemagni,ILC - CNR
Andrea Cimino,ILC - CNR
Dominique Brunato,ILC - CNR
Maurizio Tesconi,IIT-CNR
Giuseppe Attardi,Università di Pisa
Cristina Bosco,Università di Torino
Stefano Cresci,IIT-CNR
Gualtiero Fantoni,Department of Civil and Industrial Engineering
Alessio Ferrari,ISTI-CNR
Francesca Bonin,IBM
Maria Simi,
Simone Marchi,IIT-CNR
Stefania Gnesi,ISTI-CNR
alessandro mazzei,University of Turin
Marinella Petrocchi,IIT-CNR
Tommaso Caselli,University of Groningen
Massimiliano Ciaramita,Google
Martijn Wieling,University of Groningen
Marco Brunello,"PhD candidate at Centre for Translation Studies, University of Leeds"
Felice Dell'Orletta,"Researcher in Computational Linguistics, ItaliaNLP Lab @ ILC CNR Pisa"
Paul Thompson,University of Manchester
Tommaso Agnoloni,ITTIG/CNR
vito pirrelli,"Istituto di Linguistica Computazionale ""Antonio Zampolli"" CNR Pisa"
Sasaki Yutaka,Toyota Technological Institute
Valeria Quochi,"Consiglio Nazionale delle Ricerche, Istituto di Linguistica Computazionale"
Enrico Francesconi,"Ricercatore, ITTIG-CNR"
Eva Maria Vecchi,Stuttgart University
Nicoletta Calzolari,"Director of Research, CNR-ILC, Italy"
Monica Monachini,ILC-CNR
Riccardo Del Gratta,"Istituto di LInguistica Computazionale ""A. Zampolli"""
Chatterjee Niladri, IIT Delhi
Kushagri Tandon, IIT Delhi
Eytan Adar,University of Michigan
Matthew Kay,Northwestern University
Nicholas Diakopoulos,Northwestern University
Priti Shah,University of Michigan
Bongshin Lee,Microsoft
Sean A. Munson,"Associate Professor, Human Centered Design & Engineering, University of Washington"
Nathalie Henry Riche,Microsoft
Steven Drucker,Microsoft
Jeffrey Heer,University of Washington
Walter S. Lasecki,-
Juho Kim,Associate Professor at KAIST
Danyel Fisher,Researcher
Robert C. Miller,"Professor, Computer Science, MIT"
Matt Lease,"Associate Professor, School of Information, University of Texas at Austin"
Michael S. Bernstein,"Associate Professor, Stanford University"
Jeffrey P. Bigham,CMU HCII & Apple
Maneesh Agrawala,Stanford University
Tong Gao,University of Michigan
Brent Hecht,Microsoft
Lada Adamic,Computational Social Scientist at Facebook
Bernardo Huberman,CableLabs
Jaime Teevan,Microsoft
Jessica Hullman,Northwestern University
Rajan Lukose,
Mira Dontcheva,"Senior Research Scientist, Adobe"
Susan Dumais,"Technical Fellow, Microsoft Research"
Daniel Weld,University of Washington
Li Zhang,Google
Hariharan Subramonyam,Stanford University
Hinrich Schütze,University of Munich
Jim Pitkow,
Avishay Livne,"PhD in Computer Science, The University of Michigan"
Michael Cafarella,"Associate Professor of Computer Science, University of Michigan"
Daniel J. Liebling,Google
Rosie Jones,Spotify
Matthew Burgess,University of Michigan
Malihe Alikhani,University of Pittsburgh
Kai-Wei Chang,University of California
Cho-Jui Hsieh,University of California
Hsiang-Fu Yu,University of Texas 
Milos Gligoric,University of Texas
Pengyu Nie,University of Texas
Raymond Mooney,University of Texas
Greg Durrett,University of Texas
Byron Wallace,Northeastern University
Sheena Panthaplackel,University of Texas
Wei-Jen Ko,University of Texas
Katrin Erk,University of Texas
Yaman Kumar Singla,Adobe
Rajiv Ratn SHAH,IIIT-Delhi
Iain Marshall,King's College London
Yinfei Yang,Apple
Eric Holgate,University of Texas
Isabel Cachola,Johns Hopkins University
Amanda Stent,Researcher
Elisa Ferracane,University of Texas
Yong Deng,University of Electronic Science and Technology of China
Xiaojun Wan,Peking University
Zhixian Yang,Peking University
Xiao Jianguo,Peking University
Weiwei Sun,University of Cambridge
Jiwei Tan,Alibaba Group
Xinjie Zhou,Peking University
Xiaojiang Huang,Microsoft
Xiaoming Li,Peking University
Rui Yan (严睿),Renmin University of China
Tengfei Ma,IBM
Yuxin Peng,Peking University
Wei Wei,Carnegie Mellon University
Xuewei TANG,
Huiying Li,Peking University
Jahna Otterbacher,"Open University of Cyprus, Cyprus Center for Algorithmic Transparency (CyCAT) & CYENS CoE"
Su Yan,Alibaba Group
Shiyang Wen,Peking University
Mirella Lapata,Edinburgh University
Anders Søgaard,University of Copenhagen
Héctor Martínez Alonso,Apple
Barbara Plank,University of Copenhagen
Maria Barrett,University of Copenhagen
Yoav Goldberg,Bar Ilan University
emanuele lapponi,University of Oslo
Dirk Hovy,Bocconi University
Natalie Schluter,IT University of Copenhagen
John Paulin Hansen,Technical University of Denmark
Zeljko Agic,Unity
David Jackson Morris,University of Copenhagen
Ivan Vulić,PolyAI
Sebastian Ruder,Google
Isabelle Augenstein, University of Copenhagen
Sigrid Klerke,EyeJustRead.com
Ana Valeria González,HalfSpace
Marcel Bollmann,"Jönköping University, Sweden"
Chloé Braud,"Melodi, IRIT, CNRS (Toulouse)"
Marek Rei,Imperial College London
Sune Lehmann,University of Denmark
Iyad Rahwan,Max Planck Institute for Human Development
Alan Mislove,Northeastern University
Miryam de Lhoneux,University of Copenhagen
Ophélie Lacroix,Wunderman Thompson
Yeliz Yesilada,Middle East Technical University
Sukru Eraslan,Middle East Technical University
Simon Harper,University of Manchester
Irina Temnikova,"""Big Data for Smart Society"" Institute, GATE"
Omid Rohanian,University of Oxford
brian clauser,"Vice President, Center for Advanced Assessment, National Board of Medical Examiners"
Constantin Orăsan,University of Surrey
Vlad Niculae,University of Amsterdam
Kang Xue,NWEA
Christopher Runyon,NBME
Polina Harik,NBME
Bengisu Tulu,Worcester Polytechnic Institute
"Susanne Muehlschlegel, MD, MPH, F...",University of Massachusetts 
Javad Norouzi Nia,Worcester Polytechnic Institute
Diane Strong,Worcester Polytechnic Institute
Fatima Varzgani,Worcester Polytechnic Institute
Ye Zhang,Google
Thomas Trikalinos,"Health Services, Policy & Practice"
Joseph Lau,Brown University
Christopher H Schmid,Brown University
Sarthak Jain,Northeastern University
Carla Brodley,Northeastern University
Kevin Small,Amazon 
Issa Dahabreh,Harvard
James Thomas,"Professor of Social Research & Policy, EPPI-Centre, UCL Social Research Institute, UCL"
An T. Nguyen,University of Texas
Joël Kuiper,University of Groningen
Eric Lehman,MIT
Michael J. Paul,University of Colorado Boulder
Jay DeYoung,Northeastern University
Eugene Charniak,Brown University
Lora Aroyo,Google
Oana Inel,University of Zurich
Alessandro Bozzon, Delft University of Technology
Anca Dumitrache, Albert Heijn
Chris Welty,Google
Geert-Jan Houben, Delft University of Technology
Zoltán Szlávik,myTomorrows
Benjamin Timmermans,IBM
Sepideh Mesbah,Delft University of Technology
Lukasz Romaszko,University of Edinburgh
Nico Roos,Maastricht University
Christoph Lofi, Delft University of Technology
Selene Baez Santamaria,University of Amsterdam
Hariton Efstathiades,University of Cyprus
judith redi,Miro
Mark Hoogendoorn,University of Amsterdam
Demetris Antoniades,RISE
George Pallis,University of Cyprus
Marios D. Dikaiakos,University of Cyprus
Marijn Janssen, Delft University of Technology
Wolf-Tilo Balke,Technische Universität Braunschweig
Eelco Herder,Utrecht University
Daniel Olmedilla,Facebook
Arne Koesling,Leibniz Universität Hannover
Nigel Collier,University of Cambridge
Michael Loster,Hasso-Plattner-Institute
Ralf Krestel,Kiel University
Stephan Sigg,Aalto University
Kai Kunze,Keio Media Design
"Sanjay Madria, ACM Distinguished Sci...",Missouri University of Science and Technology
Wolf Siberski,SYNAOS GmbH
Stephan Vogel,Qatar Computing Research Institute
Victoria Yaneva,NBME
Kevin Bretonnel Cohen,University of Colorado
Ivelina Nikolova,Institute of Information and Communication Technologies
Galia Angelova,Bulgarian Academy of Sciences
Ralf Steinberger,Ralf Steinberger Photography
Camelia Ignat,JRC
Carlos Castillo,University of Pompeu Fabra
Francisco (Paco) Guzmán,Facebook
William A Baumgartner Jr,University of Colorado
Hassan Sajjad,Qatar Computing Research Institute
Emilia Kasper,Google
Wajdi Zaghouani,Hamad Bin Khalifa University
Negacy D. Hailu,University of Colorado
Nadir Durrani,"Senior Scientist, QCRI, HBKU"
Mark Dras, Macquarie University
Michael Strube,Heidelberg Institute for Theoretical Studies gGmbH
Federico Nanni,The Alan Turing Institute
Stefano Faralli,University of Rome
Alexander Panchenko,Assistant Professor for NLP at Skolkovo Institute of Science and Technology
Laura Dietz,University of New Hampshire
Anne Lauscher,Bocconi University
Michael Schuhmacher,BASF SE
Heiko Paulheim,University of Mannheim
Yannick Versley,Amazon 
Dmitry Ustalov,Toloka
Kai Eckert,Stuttgart Media University
Christian Bizer, University of Mannheim
Eiichiro SUMITA,NICT 
Kiyonori Ohtake,NICT
Satoshi Sekine,"RIKEN, AIP"
Masao Utiyama,NICT
Prof. Ashu Marasinghe, Global Skills Development Academy
Francis Bond,"Department of Asian Studies, Palacký University Olomouc."
Kyonghee Paik 白京姫,University of West Florida
Ptaszynski Michal, Kitami Institute of Technology
Chengqing Zong (宗成庆),Chinese Academy of Sciences
Kentaro Torisawa,NICT
Seiichi Nakagawa,Chubu University 
Matsuda Makiko,Kanazawa University
Kenji Imamura,NICT
Taichi Aida,Tokyo Metropolitan University
Hideharu Nakajima,NTT Communication Science Laboratories
Hitoshi Isahara,Otemon Gakuin University
中俣尚己,
Cyril Grouin,University of Paris-Saclay
Thierry Hamon,University of Paris-Saclay
Anaïs Koptient,University of Lille
David Alfter,UCLouvain 
Adrien Bibal,UCLouvain 
Xiaoou Wang,UCLouvain
Mathilde Wybo,University of Lille
Amel Fraisse,PhD. Computer Science
Bernard Jacquemin,University of Lille
Pascal Denis,INRIA
Antonio Balvet,University of Lille
natalia grabar,CNRS UMR8163 STL
Matthias Huck,SAP SE
Wei Ma (马伟),Xi'an Jiaotong University
Mats R Andersson,Flinders University
Weiwei Li,Beijing University of Chemical Technology
Koen Vandewal,Hasselt University
Ergang Wang,Chalmers University of Technology
Wolfgang Tress,ZHAW
"Armantas Melianas, Ph.D.",Exponent
Kristofer Tvingstedt,University of Würzburg
Qinye Bao,Linköping  University
Desta Gedefaw,University of South Pacific
Feng GAO,Linköping University
Yizheng Jin,Zhejiang Univesity
Christian Müller,Chalmers University of Technology
Chiara Musumeci,Linköping University
Yingyot Infahsaeng,Thammasat University
Arkady Yartsev,Lund University
D. H. K. Murthy,Manipal Institute of Technology
Mohammad Javad Jafari,Linköping University
Wenliu Zhuang,Chalmers University of Technology
Christopher D Manning,Stanford University
David McClosky,Google
Steven Bethard,University of Arizona
Marco A. Valenzuela-Escárcega,University of Arizona
Lluís Màrquez,Principal Applied Scientist
Dan Jurafsky,Stanford University
Gus Hahn-Powell,University of Arizona
Jordi Turmo,Universitat Politècnica de Catalunya
Dane Bell,Lum AI
Angel Chang,Simon Fraser University
Rebecca Sharp,Lex Machina
Ramesh Maruthi Nallapati,Amazon
Jenny Rose Finkel,
Nathanael Chambers,US Naval Academy
Julie Tibshirani,Elasticsearch BV
Clayton T. Morrison,University of Arizona
Naif R. Aljohani,King Abdulaziz University
Raheem Sarwar,University of Wolverhampton
Iqra Safder,"Assistant Professor, FAST NUCES, Pakistan"
Dr. Rao Muhammad Adeel Nawab,University Islamabad
Salem Alelyani,King Khalid University
Rabeeh Abbasi,Quaid-i-Azam University
Peter Haddawy,Mahidol University
Hajra Waheed,Information Technology University
Mubashir Imran,University of Queensland
Suppawong Tuarob,Mahidol University
Jia Zhu,South China Normal University
Timothy D. Bowman,Wayne State University
Francisco Herrera,Granada University
Jon Crowcroft,University of Cambridge
Gareth Tyson,Hong Kong University of Science and Technology
